ID Vigilante,Horario preferencia 6 a.m - 2 p.m,Horario preferencia 2 p.m - 10 p.m,Horario preferencia 10 p.m - 6 a.m,Sitio Esperado,D. Sitio 1,D. Sitio 2,D. Sitio 3,D. Sitio 4,D. Sitio 5,D. Sitio 6,D. Sitio 7,D. Sitio 8,D. Sitio 9,D. Sitio 10,D. Sitio 11,D. Sitio 12,D. Sitio 13,D. Sitio 14,D. Sitio 15,D. Sitio 16,D. Sitio 17,D. Sitio 18,D. Sitio 19,D. Sitio 20,D. Sitio 21,D. Sitio 22,D. Sitio 23,D. Sitio 24,D. Sitio 25,D. Sitio 26,D. Sitio 27,D. Sitio 28,D. Sitio 29,D. Sitio 30,D. Sitio 31,D. Sitio 32,D. Sitio 33,D. Sitio 34,D. Sitio 35,D. Sitio 36,D. Sitio 37,D. Sitio 38,D. Sitio 39,D. Sitio 40,D. Sitio 41,D. Sitio 42,D. Sitio 43,D. Sitio 44,D. Sitio 45,D. Sitio 46,D. Sitio 47,D. Sitio 48,D. Sitio 49,D. Sitio 50,D. Sitio 51,D. Sitio 52,D. Sitio 53,D. Sitio 54,D. Sitio 55,D. Sitio 56,D. Sitio 57,D. Sitio 58,D. Sitio 59,D. Sitio 60,D. Sitio 61,D. Sitio 62,D. Sitio 63,D. Sitio 64,D. Sitio 65,D. Sitio 66,D. Sitio 67,D. Sitio 68,D. Sitio 69,D. Sitio 70,D. Sitio 71,D. Sitio 72,D. Sitio 73,D. Sitio 74,D. Sitio 75,D. Sitio 76,D. Sitio 77,D. Sitio 78,D. Sitio 79,D. Sitio 80,D. Sitio 81,D. Sitio 82,D. Sitio 83,D. Sitio 84,D. Sitio 85,D. Sitio 86,D. Sitio 87,D. Sitio 88,D. Sitio 89,D. Sitio 90,D. Sitio 91,D. Sitio 92,D. Sitio 93,D. Sitio 94,D. Sitio 95,D. Sitio 96,D. Sitio 97,D. Sitio 98,D. Sitio 99,D. Sitio 100,D. Sitio 101,D. Sitio 102,D. Sitio 103,D. Sitio 104,D. Sitio 105,D. Sitio 106,D. Sitio 107,D. Sitio 108,D. Sitio 109,D. Sitio 110,D. Sitio 111,D. Sitio 112,D. Sitio 113,D. Sitio 114,D. Sitio 115,D. Sitio 116,D. Sitio 117,D. Sitio 118,D. Sitio 119,D. Sitio 120,D. Sitio 121,D. Sitio 122,D. Sitio 123,D. Sitio 124,D. Sitio 125
11,3,3,1,3,83,14,48,45,91,63,14,1,82,27,74,18,7,82,70,100,20,4,95,28,52,87,35,60,12,47,37,66,16,53,32,62,79,91,83,99,35,50,28,93,36,62,23,32,44,14,89,31,7,22,78,18,93,59,37,1,42,58,84,39,61,5,8,87,70,42,90,24,61,40,48,12,50,21,93,73,62,77,70,27,29,4,38,81,25,56,31,1,25,54,53,60,74,7,94,50,0,61,83,86,48,89,69,93,23,17,25,78,43,53,2,10,84,91,100,28,69,26,18,50,82,6,20,68,46
12,0,2,0,0,68,43,52,72,67,47,77,57,53,60,35,25,28,19,89,63,86,57,58,97,9,2,90,15,69,8,7,72,92,52,42,53,59,94,43,12,29,37,34,2,33,85,72,90,14,37,34,68,99,31,36,14,8,33,85,51,71,81,55,56,85,35,6,25,53,41,1,11,95,16,48,96,72,99,99,8,45,28,22,30,9,17,66,66,94,78,76,66,21,2,43,41,62,31,84,37,1,1,74,2,66,44,94,40,28,72,17,44,62,97,76,59,79,54,1,68,10,93,44,94,92,69,50,69,81
13,2,1,0,0,35,70,16,45,32,4,93,70,17,97,90,70,95,27,85,43,11,10,1,2,16,94,5,11,87,83,23,47,9,71,62,23,78,27,100,45,100,66,45,55,73,25,75,89,53,1,30,14,47,75,52,87,3,98,14,4,58,73,85,25,38,3,12,16,36,43,3,59,58,97,80,64,1,21,14,49,51,72,55,17,39,99,0,5,1,54,48,41,24,83,93,61,32,62,64,58,20,85,58,89,54,66,11,92,38,37,21,24,10,49,36,13,51,3,44,52,13,55,10,17,97,91,88,84,94
14,3,3,0,0,6,29,12,26,53,24,78,83,25,72,70,65,58,95,100,6,83,26,75,23,69,11,20,48,70,6,6,8,51,54,33,76,51,3,39,93,85,54,50,18,35,95,26,5,47,98,36,60,56,3,29,81,31,21,64,85,37,34,7,97,74,12,91,46,13,44,14,1,75,37,54,92,3,42,60,34,92,85,37,30,94,73,11,62,42,31,27,55,76,67,88,34,57,44,0,22,56,2,48,7,74,7,4,20,63,64,27,3,40,24,13,13,4,77,34,9,63,59,64,63,15,45,78,20,45
15,1,1,3,3,0,12,2,67,76,42,79,55,66,7,69,55,87,2,11,74,4,18,62,90,12,98,43,91,62,84,49,58,85,29,10,98,97,73,0,57,87,61,37,1,28,69,29,0,15,97,37,97,12,28,44,67,11,54,52,0,3,7,100,59,2,33,69,39,37,5,98,76,13,36,17,55,8,59,40,76,58,94,16,98,55,32,41,91,76,31,28,0,75,28,19,38,15,52,18,90,54,83,26,13,32,11,75,98,47,85,78,48,66,73,54,63,57,71,92,8,34,57,3,92,77,63,93,30,74
16,0,0,3,1,8,50,55,4,71,31,24,46,23,88,78,53,65,64,18,20,17,91,33,42,71,89,35,48,85,80,38,17,79,59,39,86,100,69,41,83,90,20,64,93,46,51,52,28,85,93,81,99,67,60,19,17,8,99,61,34,14,3,23,58,50,32,72,17,88,32,60,86,5,82,6,95,41,9,14,8,98,77,77,43,66,2,58,100,61,88,1,65,70,73,87,83,75,46,93,75,64,53,49,92,62,38,16,14,56,62,91,32,91,57,32,62,60,19,86,34,43,16,80,48,31,99,89,80,12
17,3,0,0,3,20,55,84,52,79,77,86,11,98,35,8,35,50,43,72,10,50,70,51,80,43,100,48,22,7,22,44,21,19,72,38,82,4,30,47,33,34,46,7,39,78,10,72,7,44,34,45,59,37,94,2,28,44,26,100,55,50,3,15,84,2,0,51,79,26,82,90,82,12,93,70,82,51,69,75,40,86,37,21,44,67,27,73,53,25,37,42,73,15,72,57,56,36,35,9,88,67,94,36,27,90,85,59,52,23,47,89,68,57,39,91,42,75,93,21,21,63,87,59,2,67,79,27,80,7
18,1,1,0,0,63,65,16,97,70,71,51,82,98,62,3,100,39,59,63,66,7,0,1,42,82,56,80,56,78,44,78,95,34,10,66,92,54,2,25,42,19,25,99,5,12,85,72,8,73,1,77,73,66,20,25,29,24,5,100,53,64,14,44,48,15,18,15,73,25,26,30,70,63,32,29,53,24,35,32,34,66,33,28,68,37,36,75,29,56,21,48,78,79,45,5,33,82,83,32,42,39,16,46,13,15,27,64,34,94,8,92,6,74,47,10,71,86,73,24,97,15,54,19,68,76,0,70,48,11
19,2,2,3,0,10,28,9,22,3,48,98,23,55,82,2,21,25,4,12,61,66,62,23,71,79,19,44,28,42,10,76,78,41,53,58,98,62,67,70,83,20,66,96,84,18,18,59,89,2,87,9,43,63,23,29,0,38,88,20,94,66,10,56,15,82,0,41,87,86,32,31,33,63,97,59,36,84,32,95,99,25,10,62,51,73,43,55,53,70,6,41,33,69,1,87,72,46,57,22,85,83,23,99,22,96,100,65,35,96,21,68,98,71,71,54,18,59,32,43,74,33,52,55,23,15,20,47,96,43
20,2,2,2,0,86,92,1,5,22,73,45,53,93,63,44,41,75,77,91,85,2,39,12,78,59,77,97,4,14,13,18,17,13,96,22,13,53,18,15,41,60,19,47,94,17,98,68,60,82,45,39,60,54,68,69,54,14,19,80,89,42,49,98,44,34,13,71,95,77,30,3,69,44,20,74,35,24,100,33,66,74,2,10,30,57,28,69,82,51,82,24,71,61,34,85,1,36,30,56,20,79,28,4,96,14,33,2,79,44,5,58,88,91,63,56,32,40,71,40,1,81,99,16,84,57,35,12,78,21
21,3,1,0,2,41,63,77,24,8,6,34,29,50,83,76,36,66,20,43,7,67,98,22,23,68,20,63,37,94,13,94,25,58,21,34,87,74,80,54,6,27,29,44,85,80,95,76,51,9,97,97,70,56,54,64,61,5,26,55,35,78,64,23,10,60,22,73,86,56,93,90,51,36,50,41,33,2,89,59,87,73,96,14,20,92,77,10,47,85,82,15,71,84,61,60,40,87,54,70,50,29,10,20,8,42,26,85,60,15,65,64,43,24,65,15,86,1,10,6,18,37,59,8,42,86,35,30,7,96
22,3,1,1,1,25,95,51,81,29,1,90,41,81,98,85,90,12,78,29,90,16,78,27,91,47,81,76,33,30,21,71,14,37,13,19,36,59,62,88,21,24,79,59,84,28,64,41,48,75,33,11,60,41,32,46,38,19,76,11,68,67,74,86,54,4,78,19,65,73,72,93,9,7,73,15,44,98,38,1,82,42,34,40,38,79,58,99,64,70,2,88,25,20,45,45,42,38,80,23,18,68,84,77,22,60,42,20,42,90,2,17,76,33,68,71,26,52,96,75,37,7,1,6,60,74,27,18,96,21
23,1,0,3,1,16,100,59,38,31,50,63,71,71,0,22,30,36,45,16,86,56,19,15,100,3,8,7,41,87,47,46,23,61,96,0,19,48,55,68,79,24,49,3,21,28,43,52,40,45,68,23,78,83,10,83,68,3,3,54,88,8,48,0,91,96,54,11,19,66,89,64,48,47,96,56,46,13,13,4,43,20,97,44,57,100,31,92,44,70,37,29,87,47,51,81,40,92,65,64,35,88,86,72,55,33,68,37,84,96,56,6,35,17,28,5,2,51,13,70,15,31,83,94,96,76,40,25,35,51
24,2,2,1,3,1,62,35,26,68,26,50,62,85,32,75,54,82,93,29,37,12,4,51,33,38,54,83,82,87,21,27,20,49,17,8,25,80,94,25,73,89,66,0,12,1,80,86,85,42,62,4,41,7,92,79,43,70,100,41,9,54,62,89,2,67,11,5,32,60,41,83,100,94,55,53,22,92,33,25,91,14,73,47,99,74,70,89,18,20,73,26,93,80,71,99,95,84,84,44,22,63,74,50,51,87,38,51,68,85,43,48,91,35,77,98,67,96,80,3,86,52,20,91,98,70,33,83,61,47
25,1,0,1,2,85,90,34,61,71,32,51,32,72,18,7,43,1,35,93,73,16,33,47,43,52,64,12,28,79,33,58,66,5,34,31,91,80,6,11,19,78,87,23,93,11,16,73,73,83,75,12,48,66,69,39,13,34,40,20,92,68,9,0,75,75,2,13,10,94,97,83,1,18,37,30,23,56,28,59,67,4,34,44,59,62,29,36,24,34,74,22,39,99,16,21,16,97,77,96,97,85,58,48,27,50,64,10,21,47,93,98,70,62,57,60,53,62,95,92,57,58,60,16,68,26,99,89,35,58
26,1,1,0,3,77,46,46,8,30,76,79,83,61,87,49,67,85,99,55,3,1,50,39,31,8,92,41,0,20,79,59,77,5,31,0,7,17,76,50,83,44,48,23,78,83,50,13,59,62,60,3,56,70,98,0,72,59,81,49,66,97,31,94,74,92,66,89,65,28,27,53,31,78,97,11,86,78,42,5,80,6,99,57,63,30,89,13,69,22,62,81,57,29,68,92,48,38,70,95,38,4,97,70,63,34,40,59,49,90,54,43,19,87,78,94,36,43,61,93,74,74,14,3,92,16,6,63,54,99
27,1,0,0,0,79,17,98,55,84,93,9,96,92,70,43,39,5,20,31,53,10,40,79,25,64,64,40,53,7,55,25,2,33,47,76,35,95,64,55,6,22,37,33,41,97,24,96,21,16,57,1,32,84,27,1,8,19,3,33,21,41,10,48,32,56,53,41,69,49,80,96,79,19,41,25,60,11,55,100,9,100,14,60,11,29,3,54,77,83,10,91,93,75,21,69,39,10,44,25,4,38,88,47,6,76,77,0,85,49,45,93,69,29,42,51,24,81,94,81,29,27,25,68,88,48,72,58,16,27
28,3,2,0,2,35,23,48,21,75,89,66,26,27,59,6,30,33,65,6,84,89,93,81,95,91,36,46,25,90,85,69,96,41,29,93,74,1,27,99,21,45,76,25,7,27,38,56,87,63,46,82,54,40,5,21,15,21,59,37,92,78,63,3,98,60,66,100,61,88,67,55,0,81,37,66,25,46,66,6,87,19,26,0,47,42,88,60,81,45,80,49,35,30,97,33,62,99,33,75,56,53,53,19,41,56,87,25,60,48,20,41,98,69,89,32,73,77,64,11,1,96,87,57,98,55,6,80,79,61
29,0,0,1,2,100,8,0,73,86,24,55,76,96,65,0,45,13,86,86,19,24,50,49,11,9,16,83,90,77,79,90,50,63,82,7,60,97,61,13,76,12,23,6,18,62,20,24,47,22,32,57,70,17,95,60,93,100,89,1,89,67,66,12,48,10,1,22,26,84,21,48,13,50,83,9,99,15,25,12,15,18,82,48,74,45,78,23,49,81,42,72,80,58,100,85,2,77,19,1,8,14,50,50,17,97,66,5,96,27,12,37,70,36,10,85,94,89,42,17,46,36,21,12,16,53,28,28,58,33
30,2,2,3,2,70,93,97,45,68,26,73,49,36,49,17,11,9,22,11,36,12,83,14,10,65,60,76,69,24,44,25,59,57,32,79,5,83,48,75,43,6,94,69,10,75,16,86,72,61,70,95,50,84,10,87,29,4,19,3,25,17,59,42,14,37,14,92,15,40,8,98,57,33,12,62,45,89,20,10,5,17,37,79,99,86,29,33,84,34,49,35,87,93,4,77,59,40,6,12,44,82,19,96,7,21,25,51,94,1,86,74,46,53,88,38,52,84,20,6,77,71,82,79,89,50,93,87,44,28
31,1,0,1,0,37,19,72,68,96,83,50,8,68,42,3,9,64,48,44,31,43,51,0,73,21,13,89,58,32,70,13,70,69,22,75,55,97,11,2,91,75,95,93,72,71,35,28,42,26,76,58,39,70,96,82,100,25,72,72,55,8,98,37,4,64,6,86,45,88,80,7,35,63,52,7,26,88,3,57,60,26,81,41,100,92,62,21,3,93,70,60,81,55,32,97,3,26,75,34,38,67,14,43,81,83,63,67,97,63,31,44,14,85,39,44,40,18,68,0,43,7,49,8,40,9,71,94,3,83
32,2,0,0,2,7,81,85,100,76,1,55,63,30,48,60,20,89,51,45,99,43,30,67,20,55,71,20,37,77,66,3,10,20,42,87,74,47,78,50,86,73,59,67,56,26,25,6,10,76,64,7,45,47,61,96,85,32,55,98,20,27,21,88,64,86,93,12,21,3,47,33,69,41,33,83,75,47,36,79,94,68,32,41,10,82,47,27,57,78,18,44,8,70,20,39,31,73,64,68,4,30,61,81,67,34,68,74,68,46,20,92,86,44,56,6,6,68,41,21,94,33,39,63,84,20,17,12,21,5
33,3,0,1,3,57,35,80,51,89,84,58,29,61,50,31,76,48,7,20,10,7,72,74,27,53,55,30,88,56,11,74,18,99,70,26,93,12,69,5,59,57,93,75,61,30,58,16,74,32,12,50,38,87,69,83,64,0,34,16,73,71,94,9,96,67,60,21,8,9,50,42,57,65,99,61,46,9,36,4,82,23,37,42,20,30,87,87,17,18,26,79,47,91,99,94,39,28,94,3,14,55,74,47,96,97,15,0,64,38,59,43,10,89,73,73,69,39,33,77,96,63,70,91,26,16,60,62,28,56
34,0,0,2,2,9,96,32,3,4,58,60,0,9,79,12,58,61,37,84,97,66,66,8,18,66,71,4,55,26,61,55,5,20,77,47,23,16,47,3,95,99,92,10,74,96,0,63,7,78,97,11,37,100,49,60,31,2,85,74,94,45,19,0,87,82,25,57,4,41,41,99,14,45,69,80,77,51,44,28,36,29,4,12,41,40,80,94,56,24,14,56,75,95,85,40,42,2,60,75,97,45,62,90,95,28,49,8,52,5,89,77,91,40,31,27,93,81,88,48,49,36,1,88,51,86,2,30,11,94
35,2,2,1,1,48,69,6,93,12,34,80,55,46,60,95,13,3,51,70,12,89,42,92,23,9,9,95,12,48,15,16,67,56,66,34,54,96,29,38,1,18,82,11,8,18,25,89,44,43,90,37,33,64,75,93,43,7,4,80,35,16,69,24,41,57,50,5,71,0,9,86,50,21,10,25,11,98,51,42,47,24,56,92,99,18,16,85,18,33,29,94,47,22,56,14,27,5,36,94,76,6,25,9,85,37,41,36,16,71,43,68,40,25,15,65,93,69,39,45,12,49,64,55,16,60,53,86,45,69
36,0,3,3,1,17,73,61,25,80,48,100,9,94,56,89,55,45,69,64,47,52,38,50,56,17,4,11,21,41,71,39,22,24,71,4,41,28,88,46,14,2,25,1,75,75,18,83,46,36,34,5,43,70,42,97,79,79,80,87,55,61,68,28,49,67,71,26,7,36,25,66,100,80,87,78,94,40,0,96,93,65,8,5,72,27,23,3,87,26,17,78,24,81,0,87,57,21,37,27,64,45,65,13,64,2,22,59,64,28,71,20,33,28,29,84,56,77,9,77,43,17,20,76,24,52,24,56,12,52
37,1,1,1,2,41,37,37,89,87,75,2,65,76,13,4,45,37,2,58,23,15,93,35,60,100,50,35,84,15,74,22,16,1,93,73,24,56,0,79,53,6,96,99,60,75,73,96,67,6,98,88,32,24,70,5,45,59,45,53,70,30,81,45,78,17,71,49,69,84,18,99,92,45,14,75,26,25,96,54,57,78,0,73,95,30,97,35,27,27,32,81,56,5,58,77,63,70,88,73,33,78,77,27,73,85,30,20,62,15,28,26,80,77,54,1,43,43,19,87,28,31,78,6,20,6,92,17,44,1
38,3,1,1,0,11,13,98,51,85,92,15,10,91,0,63,64,93,12,54,63,26,12,52,21,2,26,5,1,34,44,62,17,50,74,61,84,39,75,82,13,12,18,59,69,82,68,78,58,74,75,47,53,85,71,98,60,83,12,33,70,86,94,36,60,99,83,29,1,28,98,33,12,63,90,5,20,61,62,28,68,34,1,97,73,53,33,11,47,92,16,9,37,16,97,100,95,92,68,97,37,57,17,7,56,58,3,78,78,37,34,85,73,57,46,59,37,61,36,25,66,71,92,82,21,87,23,58,15,24
39,1,3,1,2,49,73,39,92,88,66,41,39,84,66,75,57,12,94,75,61,66,46,47,38,5,81,71,48,84,1,4,31,44,10,47,89,95,64,52,85,79,32,83,79,34,100,5,51,49,86,75,91,60,85,31,67,15,62,35,98,23,63,63,1,5,55,73,13,6,43,92,41,75,7,53,83,47,6,73,16,55,30,78,1,68,10,30,1,91,36,12,66,0,9,76,26,67,14,20,78,70,21,4,32,99,90,16,5,41,66,41,46,60,40,38,80,26,34,23,88,87,31,97,1,86,13,97,42,92
40,0,2,2,2,13,85,19,10,92,38,69,89,66,37,27,44,33,72,19,96,100,89,98,27,84,34,70,78,62,37,60,82,41,76,16,55,75,53,50,69,53,26,48,4,59,59,22,95,88,12,14,53,24,12,68,8,85,16,69,100,12,96,24,55,19,67,68,53,51,64,71,95,86,20,36,78,13,89,40,79,95,71,74,62,3,19,39,33,82,77,31,42,77,76,53,8,34,8,91,63,72,76,87,29,80,13,3,3,19,59,93,45,86,15,2,60,72,5,79,38,12,66,18,88,56,18,52,82,42
41,3,2,3,1,14,71,28,8,36,8,27,63,22,54,9,12,62,0,52,7,65,69,9,11,0,34,6,91,40,43,10,32,36,77,52,32,92,53,36,88,70,95,58,27,51,57,5,41,48,82,97,21,100,75,2,59,47,26,1,3,20,35,95,74,44,100,60,74,77,40,52,22,80,53,60,6,72,6,10,66,68,53,89,55,25,77,21,45,15,63,53,10,0,18,70,25,85,9,53,15,99,68,88,55,26,18,41,52,63,38,21,64,10,34,92,98,85,10,76,23,8,31,59,57,19,0,32,75,98
42,1,0,1,2,95,66,4,18,42,75,47,78,92,8,90,62,27,22,7,51,94,44,96,77,55,79,27,6,74,24,83,26,69,35,62,28,92,58,39,71,4,71,69,47,78,88,27,18,45,81,37,7,13,7,37,67,90,26,80,77,21,82,96,20,23,24,93,70,0,81,42,7,83,24,83,82,88,97,16,13,9,49,74,24,10,55,48,100,2,77,0,2,85,67,71,64,50,77,26,51,6,46,53,92,21,43,20,19,89,61,5,59,54,7,68,74,22,97,78,18,85,34,68,18,81,95,43,15,47
43,3,0,0,1,45,38,89,56,21,31,11,78,18,79,41,96,76,51,37,26,76,49,69,9,12,20,63,30,56,64,5,9,54,74,91,89,34,15,51,70,11,20,43,77,46,56,44,32,25,96,13,83,68,94,13,6,83,30,15,26,55,98,60,38,75,81,92,75,7,43,25,32,29,64,72,27,75,33,57,7,86,86,20,64,47,75,4,21,83,85,63,17,41,98,94,55,78,79,66,67,100,79,16,36,2,24,17,7,93,68,87,0,50,1,14,99,24,77,62,36,8,36,93,1,32,59,56,86,14
44,1,3,3,2,4,78,33,20,73,5,98,13,62,42,68,59,36,70,24,64,72,59,89,87,63,23,0,55,74,54,79,10,14,62,52,26,55,57,62,87,8,45,23,38,86,83,92,51,29,12,64,62,15,46,52,88,67,68,89,50,4,73,81,70,49,61,3,73,70,82,77,60,36,100,37,20,59,27,27,0,67,24,69,69,14,10,15,6,31,78,77,0,46,71,57,46,47,17,2,69,55,63,83,0,64,36,65,22,1,18,96,27,10,16,31,72,98,82,29,76,7,59,38,80,19,60,60,38,16
